run_id,algo,direction,obs,reward,seed,completion_safe,completion_fair,trailer_cte_safe,trailer_cte_fair,max_hitch_safe,max_hitch_fair,jackknife_safe,jackknife_fair,n_safe,n_fair
dqn__reverse__state__dense__s0,dqn,reverse,state,dense,0,0.0018336007334402934,0.002257336343115124,2.3292807866812333,2.387887557487155,0.252479720576392,0.261039763329126,0.023607609443043777,0.0327313769751693,4363,4430
dqn__reverse__state__dense__s1,dqn,reverse,state,dense,1,0.0,0.0,0.843201937817567,0.8482872471200479,0.9581848552481048,0.960799824990684,0.0,0.0,19963,19946
dqn__reverse__state__dense__s2,dqn,reverse,state,dense,2,0.5149305555555556,0.5034650034650034,1.2032960746112482,1.218620473236254,0.17614687919033006,0.164595797702177,0.00625,0.003465003465003465,2880,2886
dqn__reverse__state__guided__s0,dqn,reverse,state,guided,0,0.9851566794942276,0.973384030418251,0.8640699107048596,0.9215595948053723,0.31774690843926084,0.32398702301356147,0.0,0.0,1819,1841
dqn__reverse__state__guided__s1,dqn,reverse,state,guided,1,0.00019654088050314466,0.0,1.7396138649113457,1.764840407554886,0.3418101752359924,0.3399366090799007,0.0,0.0,5088,5137
dqn__reverse__state__guided__s2,dqn,reverse,state,guided,2,0.4989733059548255,0.48801889976375296,1.2038843384860933,1.2379029506140877,0.20308485841287732,0.21082525580937256,0.001026694045174538,0.002362470469119136,2922,2963
dqn__reverse__state__multiplicative__s0,dqn,reverse,state,multiplicative,0,0.0013991605036977814,0.0,1.7292289798535405,1.7689872958244504,0.6860289607742847,0.679222263195205,0.0,0.0,5003,5126
dqn__reverse__state__multiplicative__s1,dqn,reverse,state,multiplicative,1,0.0,0.0,0.6924392313270539,0.718925445003332,0.9525458365161412,0.9548795998607449,0.0,0.0,19873,19830
dqn__reverse__state__multiplicative__s2,dqn,reverse,state,multiplicative,2,0.0,0.0,0.9018385161494944,0.9399216397598499,0.9548771424213042,0.956957038673695,0.0,0.0,19968,19966
dqn__reverse__state__no_hitch__s0,dqn,reverse,state,no_hitch,0,0.0700559474580394,0.04214123006833713,2.361097504984518,2.4168938314416617,0.4203896593674927,0.43882069755218295,0.07978594016054488,0.07995444191343963,4111,4390
dqn__reverse__state__no_hitch__s1,dqn,reverse,state,no_hitch,1,0.0,0.0,0.7415385353940802,0.7652429011700801,0.9535621571788219,0.9548241847134918,0.0,0.0,19275,19261
dqn__reverse__state__no_hitch__s2,dqn,reverse,state,no_hitch,2,0.0,0.0,0.7013172272805284,0.7295155925520811,0.9624603129964499,0.9649728954051254,0.0,0.0,19914,19877
ppo__forward__state__dense__s0,ppo,forward,state,dense,0,1.0,1.0,0.18865100469613552,0.19434829893732242,0.09620511518490578,0.10059965087809057,0.0,0.0,1536,1536
ppo__forward__state__dense__s1,ppo,forward,state,dense,1,1.0,1.0,0.17950799137949236,0.181519610515936,0.09969843162980396,0.10024361834439333,0.0,0.0,1536,1536
ppo__forward__state__dense__s2,ppo,forward,state,dense,2,1.0,1.0,0.20299623065355435,0.20647279338006452,0.09815105884202542,0.0977993444812455,0.0,0.0,1536,1536
ppo__forward__state__guided__s0,ppo,forward,state,guided,0,1.0,1.0,0.18094984994544494,0.1830797410521788,0.11219779425058125,0.11202408064127667,0.0,0.0,1536,1536
ppo__forward__state__guided__s1,ppo,forward,state,guided,1,1.0,1.0,0.19787714657935238,0.19738647722857838,0.1041061532699435,0.10292902249360243,0.0,0.0,1536,1536
ppo__forward__state__guided__s2,ppo,forward,state,guided,2,1.0,1.0,0.21270050666506624,0.21826042998256043,0.12048445073984719,0.1263790536674302,0.0,0.0,1536,1536
ppo__forward__state__multiplicative__s0,ppo,forward,state,multiplicative,0,1.0,1.0,0.1817477300049851,0.18919570445345832,0.09567034569166329,0.1008314012530415,0.0,0.0,1536,1536
ppo__forward__state__multiplicative__s1,ppo,forward,state,multiplicative,1,1.0,1.0,0.15871180612899224,0.15897127353449117,0.09279644712053899,0.0933618268409191,0.0,0.0,1536,1536
ppo__forward__state__multiplicative__s2,ppo,forward,state,multiplicative,2,1.0,1.0,0.1747828889207094,0.1804484992342581,0.09169538489913975,0.09638434907719784,0.0,0.0,1536,1536
ppo__forward__state__tractor_focus__s0,ppo,forward,state,tractor_focus,0,1.0,1.0,0.21449924081705374,0.2167312509899789,0.10689625084705767,0.10686384233607289,0.0,0.0,1536,1536
ppo__forward__state__tractor_focus__s1,ppo,forward,state,tractor_focus,1,1.0,1.0,0.20468411161316438,0.20686671614322813,0.11203682305313123,0.1161905089920765,0.0,0.0,1536,1536
ppo__forward__state__tractor_focus__s2,ppo,forward,state,tractor_focus,2,1.0,1.0,0.21765105666415893,0.22241951261000828,0.10889303424422299,0.11294516068422429,0.0,0.0,1536,1536
ppo__reverse__state__dense__s0,ppo,reverse,state,dense,0,0.0019576437088449903,0.0008832361773538244,1.7663313746682465,1.7688972983146414,0.6291510811595014,0.6257420180214418,0.0,0.0,5619,5661
ppo__reverse__state__dense__s1,ppo,reverse,state,dense,1,0.0010893246187363835,0.0,1.7155759004805284,1.7273213583361178,0.8280995856854217,0.8244465233816437,0.0,0.0,5508,5523
ppo__reverse__state__dense__s2,ppo,reverse,state,dense,2,0.49534883720930234,0.4812623274161736,1.2427523145929122,1.2742050254668233,0.32358897362040523,0.32524229177591596,0.0,0.0,3010,3042
ppo__reverse__state__guided__s0,ppo,reverse,state,guided,0,0.9781181619256017,0.9557713052858684,1.0399940134283734,1.0813550649346024,0.14619307073558674,0.14740270843976525,0.0,0.0,1828,1854
ppo__reverse__state__guided__s1,ppo,reverse,state,guided,1,0.5877680698967435,0.5695032730073162,1.5276665180929954,1.5893295496871422,0.26263026624616176,0.27338407887665866,0.0,0.0,2518,2597
ppo__reverse__state__guided__s2,ppo,reverse,state,guided,2,0.9401294498381877,0.9356040447046301,1.321845870877814,1.3405294893132418,0.160512750166616,0.16388229409578697,0.0,0.0,1854,1879
ppo__reverse__state__multiplicative__s0,ppo,reverse,state,multiplicative,0,0.4994832931450224,0.48135593220338985,1.437330461725173,1.4792308074487044,0.856372716054808,0.8640959167884568,0.016879090595935238,0.02711864406779661,2903,2950
ppo__reverse__state__multiplicative__s1,ppo,reverse,state,multiplicative,1,0.48761149653121905,0.4896073903002309,1.351816881245077,1.3542526057806683,0.5446592789890351,0.5442722899435535,0.0,0.0,3027,3031
ppo__reverse__state__multiplicative__s2,ppo,reverse,state,multiplicative,2,0.48653034728984096,0.47553565717940516,1.217004164625083,1.242849632335732,0.5685585773985559,0.5694298002526978,0.0,0.0,3081,3127
ppo__reverse__state__no_hitch__s0,ppo,reverse,state,no_hitch,0,0.0007077140835102619,0.0,1.8013704221012123,1.8045505506820165,0.769833678673618,0.7653218378157256,0.0,0.0,5652,5691
ppo__reverse__state__no_hitch__s1,ppo,reverse,state,no_hitch,1,0.0,0.0,0.9397567128851132,0.982465137867421,1.01750881289345,1.014529937715603,0.0010457516339869282,0.0,7650,7753
ppo__reverse__state__no_hitch__s2,ppo,reverse,state,no_hitch,2,0.47719067935674436,0.49102990033222593,1.3683094124712396,1.3435606990151518,0.45542155252662614,0.4473477971415187,0.0,0.0,3047,3010
ppo_disc__forward__state__dense__s0,ppo_disc,forward,state,dense,0,1.0,1.0,0.4841216176127217,0.48631789266579584,0.11601750647726779,0.11556580556498375,0.0,0.0,1536,1536
ppo_disc__forward__state__dense__s1,ppo_disc,forward,state,dense,1,0.48184818481848185,0.5004180602006689,0.40398481829835897,0.40860867262183437,0.2397879452404087,0.2460549905357726,0.0,0.0,2424,2392
ppo_disc__forward__state__dense__s2,ppo_disc,forward,state,dense,2,1.0,1.0,0.952907953605704,0.954791658325551,0.11729992355685681,0.12322340056077034,0.0,0.0,1536,1536
ppo_disc__forward__state__guided__s0,ppo_disc,forward,state,guided,0,0.5017452006980803,0.4880797572605115,0.48219264663323613,0.49481898744274255,0.19801277412069407,0.20371547012129138,0.0,0.0,2292,2307
ppo_disc__forward__state__guided__s1,ppo_disc,forward,state,guided,1,0.5206431986093003,0.4781512605042017,0.4799091163428603,0.4684079782556144,0.2657489705375886,0.25090520806422845,0.0,0.0,2301,2380
ppo_disc__forward__state__guided__s2,ppo_disc,forward,state,guided,2,0.5133967156439067,0.504757785467128,0.4524074589210037,0.44951561635980675,0.2620368314956871,0.2462123496045857,0.0,0.0,2314,2312
ppo_disc__forward__state__multiplicative__s0,ppo_disc,forward,state,multiplicative,0,1.0,1.0,0.2295511914115906,0.23496120427428938,0.10741883302095327,0.11264119821195588,0.0,0.0,1536,1536
ppo_disc__forward__state__multiplicative__s1,ppo_disc,forward,state,multiplicative,1,1.0,1.0,0.23011257982117875,0.2345038344063669,0.10351526841198695,0.10823657356134693,0.0,0.0,1536,1536
ppo_disc__forward__state__multiplicative__s2,ppo_disc,forward,state,multiplicative,2,1.0,1.0,0.19984219991648525,0.2127942264275661,0.10372187318838162,0.11801828937071453,0.0,0.0,1536,1536
ppo_disc__forward__state__tractor_focus__s0,ppo_disc,forward,state,tractor_focus,0,1.0,1.0,0.33024186891153984,0.3301162889780558,0.11763528997835238,0.11466367551959895,0.0,0.0,1536,1536
ppo_disc__forward__state__tractor_focus__s1,ppo_disc,forward,state,tractor_focus,1,1.0,1.0,0.2835224527261612,0.28457370908607743,0.11313438750524558,0.11016718424252758,0.0,0.0,1536,1536
ppo_disc__forward__state__tractor_focus__s2,ppo_disc,forward,state,tractor_focus,2,0.7363476218438051,0.7216435185185185,0.4993224487644762,0.5258624389267081,0.21463988922182,0.22547814280605288,0.0,0.0,1703,1728
ppo_disc__reverse__state__dense__s0,ppo_disc,reverse,state,dense,0,0.49913164293157347,0.48662551440329216,1.2770800580779385,1.3086112351816075,0.3135198766405113,0.28582798291013073,0.010072941993747829,0.00720164609053498,2879,2916
ppo_disc__reverse__state__dense__s1,ppo_disc,reverse,state,dense,1,0.4811171056807363,0.470625,0.9860003936502562,1.012410988494058,0.46259623740408695,0.4885327530000359,0.008251348778165662,0.003125,3151,3200
ppo_disc__reverse__state__dense__s2,ppo_disc,reverse,state,dense,2,0.4738838634374088,0.4668797210923881,0.5158309267192202,0.5441959742007656,0.5237731197362465,0.5311140886993342,0.0,0.0,3427,3442
ppo_disc__reverse__state__guided__s0,ppo_disc,reverse,state,guided,0,0.6414770287677115,0.66421143847487,1.7741571022105171,1.7234653780605107,0.1362445952155627,0.13034476082129615,0.0,0.0,2329,2308
ppo_disc__reverse__state__guided__s1,ppo_disc,reverse,state,guided,1,0.5265401007361488,0.5336969224776004,1.6835403622454785,1.6808195543532936,0.1488861819034235,0.15436924787482773,0.0,0.0,2581,2567
ppo_disc__reverse__state__guided__s2,ppo_disc,reverse,state,guided,2,0.5204802259887006,0.5216168717047451,1.2704325626926967,1.2603417147500928,0.06672417383638045,0.043448821623745804,0.03848870056497175,0.020035149384885764,2832,2845
ppo_disc__reverse__state__multiplicative__s0,ppo_disc,reverse,state,multiplicative,0,0.0,0.0,0.82914989039028,0.8266925444702041,0.9391175635261227,0.9365553636373858,0.002518390880774074,0.0,15089,15702
ppo_disc__reverse__state__multiplicative__s1,ppo_disc,reverse,state,multiplicative,1,0.0,0.0,0.9563921831049155,0.9919893098356727,0.8995583857469777,0.8994254985362913,0.0,0.0,15522,15642
ppo_disc__reverse__state__multiplicative__s2,ppo_disc,reverse,state,multiplicative,2,0.5127035830618892,0.4751884422110553,0.7962633163920692,0.8852081663245582,0.29307964497066863,0.29648339977703203,0.0,0.0,3070,3184
ppo_disc__reverse__state__no_hitch__s0,ppo_disc,reverse,state,no_hitch,0,0.0,0.0,0.7278303499888692,0.7606957584841634,0.9161826573424909,0.9156706038351878,0.0,0.0,11709,11681
ppo_disc__reverse__state__no_hitch__s1,ppo_disc,reverse,state,no_hitch,1,0.47554806070826305,0.47896331201615616,1.5321909776497922,1.5191412684102963,0.487496818813164,0.4818248507136981,0.009443507588532884,0.012117132278694043,2965,2971
ppo_disc__reverse__state__no_hitch__s2,ppo_disc,reverse,state,no_hitch,2,0.4993188010899183,0.49610301592680445,1.0814076563156452,1.1206422364867452,0.3574715587297805,0.35499672147327666,0.018051771117166212,0.024059640799728905,2936,2951
td3__forward__state__dense__s0,td3,forward,state,dense,0,1.0,1.0,0.34367376677187966,0.3564245087899483,0.1228506189242277,0.13045140939599756,0.0,0.0,1536,1536
td3__forward__state__dense__s1,td3,forward,state,dense,1,1.0,1.0,0.2892201480769849,0.29634042106304365,0.11594804188340883,0.11939172416775061,0.0,0.0,1536,1536
td3__forward__state__dense__s2,td3,forward,state,dense,2,1.0,1.0,0.8274983180664505,0.8297414324420928,0.17266787488673194,0.17476201688987203,0.0,0.0,1536,1536
td3__forward__state__guided__s0,td3,forward,state,guided,0,1.0,1.0,0.2966258921431377,0.29509097311351007,0.13103331874996607,0.12982182648314242,0.0,0.0,1536,1536
td3__forward__state__guided__s1,td3,forward,state,guided,1,1.0,1.0,0.5201013779220053,0.532098733228162,0.15059161056948747,0.15812671646563103,0.0,0.0,1536,1536
td3__forward__state__guided__s2,td3,forward,state,guided,2,1.0,1.0,0.2682558944301246,0.2859145457385795,0.10754773633379955,0.11798221109590183,0.0,0.0,1536,1536
td3__forward__state__multiplicative__s0,td3,forward,state,multiplicative,0,1.0,1.0,0.6329948312640351,0.6340925643288656,0.14970970090992827,0.14835682642781953,0.0,0.0,1536,1536
td3__forward__state__multiplicative__s1,td3,forward,state,multiplicative,1,1.0,1.0,0.293894889415354,0.2885968972478297,0.1179400262423466,0.11499615489537973,0.0,0.0,1536,1536
td3__forward__state__multiplicative__s2,td3,forward,state,multiplicative,2,1.0,1.0,0.4474554097720986,0.4674410913990841,0.16070142347113384,0.16785387345104633,0.0,0.0,1536,1536
td3__forward__state__tractor_focus__s0,td3,forward,state,tractor_focus,0,1.0,0.9986979166666666,0.806403175077392,0.8139312346611046,0.3383619234858391,0.3407023545199384,0.0,0.0,1536,1536
td3__forward__state__tractor_focus__s1,td3,forward,state,tractor_focus,1,1.0,1.0,0.3540923422469404,0.36095987255989764,0.1251021824440007,0.1280775301226337,0.0,0.0,1536,1536
td3__forward__state__tractor_focus__s2,td3,forward,state,tractor_focus,2,1.0,1.0,0.6652701315535998,0.6709920577368184,0.14770640808274038,0.15379293048560308,0.0,0.0,1536,1536
td3__reverse__state__dense__s0,td3,reverse,state,dense,0,0.8034627983153955,0.7913998170173834,1.353657055406484,1.3704087570180163,0.27889969429654055,0.27692351950381944,0.005147402901263453,0.0054894784995425435,2137,2186
td3__reverse__state__dense__s1,td3,reverse,state,dense,1,0.7413719642096294,0.7539716616573636,1.060225196241779,1.0569645878781,0.3724350248628923,0.3456770516756063,0.0038346825734980826,0.0,2347,2329
td3__reverse__state__dense__s2,td3,reverse,state,dense,2,0.8390313390313391,0.8300469483568075,0.9692255740685176,0.988460177432995,0.2944051729407292,0.29157821249234284,0.029914529914529916,0.02910798122065728,2106,2130
td3__reverse__state__guided__s0,td3,reverse,state,guided,0,0.9357702349869451,0.9222851260936696,0.9285872423438498,0.9420868647200079,0.18222229831873904,0.19409197075000081,0.0,0.0,1915,1943
td3__reverse__state__guided__s1,td3,reverse,state,guided,1,0.8515046867291564,0.8528974739970282,1.4563307859242731,1.427153128277929,0.1491881975372054,0.1422390116211682,0.0,0.0,2027,2019
td3__reverse__state__guided__s2,td3,reverse,state,guided,2,0.82810236600676,0.8080336291452592,1.1761985742227592,1.2418544281505086,0.26648263179416937,0.267259521797014,0.0700144857556736,0.059785147127510506,2071,2141
td3__reverse__state__multiplicative__s0,td3,reverse,state,multiplicative,0,0.9561497326203209,0.9555436529191216,1.1587807881439816,1.1514164317101996,0.2968425475778108,0.28967472256411186,0.0,0.0,1870,1867
td3__reverse__state__multiplicative__s1,td3,reverse,state,multiplicative,1,0.9718004338394793,0.9562433297758804,0.7419203140726172,0.7666808931904263,0.18779555111194188,0.1949191598197805,0.003796095444685466,0.008537886872998933,1844,1874
td3__reverse__state__multiplicative__s2,td3,reverse,state,multiplicative,2,0.9733695652173913,0.9649595687331537,0.8916264846790519,0.8872741480552766,0.16768917737974096,0.1614228864777783,0.0,0.0,1840,1855
td3__reverse__state__no_hitch__s0,td3,reverse,state,no_hitch,0,0.6970725498515061,0.6873679763413604,1.1681593563805839,1.182972212004284,0.3202502347155931,0.3121304262317733,0.0,0.0,2357,2367
td3__reverse__state__no_hitch__s1,td3,reverse,state,no_hitch,1,0.9204545454545454,0.9135549872122762,0.9231074954345676,0.9194929530176407,0.20945328896026288,0.18789732471260878,0.03202479338842975,0.015856777493606138,1936,1955
td3__reverse__state__no_hitch__s2,td3,reverse,state,no_hitch,2,0.8433223218499292,0.812897366030881,0.87270294327872,0.9360038181941652,0.24790162173305946,0.2673869760932027,0.0,0.0,2119,2202
